Kanton,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Zürich,36 ,36 ,36 ,36 ,36 ,35 ,35 ,34 ,34 ,32 ,29 
Bern,55 ,54 ,54 ,52 ,53 ,47 ,46 ,43 ,44 ,44 ,43 
Luzern,8 ,8 ,8 ,8 ,8 ,9 ,8 ,8 ,9 ,8 ,8 
Uri,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 
Schwyz,3 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 
Obwalden,1 ,2 ,2 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,1 
Nidwalden,0 ,0 ,1 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 
Glarus,1 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,1 
Zug,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 
Freiburg,5 ,5 ,5 ,5 ,5 ,5 ,5 ,6 ,6 ,6 ,7 
Solothurn,12 ,12 ,12 ,12 ,12 ,12 ,12 ,11 ,11 ,11 ,10 
Basel-Stadt,10 ,9 ,8 ,8 ,7 ,7 ,7 ,6 ,6 ,5 ,5 
Basel-Landschaft,4 ,4 ,4 ,3 ,3 ,4 ,3 ,4 ,4 ,4 ,4 
Schaffhausen,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 
Appenzell A. Rh.,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 
Appenzell I. Rh.,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
St. Gallen,15 ,16 ,16 ,15 ,15 ,14 ,14 ,13 ,13 ,13 ,13 
Graubünden,9 ,8 ,9 ,9 ,9 ,7 ,7 ,8 ,10 ,11 ,11 
Aargau,19 ,18 ,18 ,18 ,18 ,19 ,18 ,18 ,18 ,17 ,17 
Thurgau,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 
Tessin,14 ,12 ,12 ,12 ,11 ,11 ,11 ,11 ,10 ,11 ,11 
Waadt,28 ,28 ,28 ,28 ,30 ,30 ,29 ,30 ,31 ,31 ,33 
Wallis,14 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 ,13 
Neuenburg,10 ,10 ,12 ,12 ,12 ,12 ,12 ,11 ,11 ,11 ,11 
Genf,13 ,14 ,16 ,15 ,16 ,15 ,15 ,14 ,14 ,16 ,14 
Jura,5 ,6 ,6 ,4 ,6 ,6 ,6 ,5 ,6 ,5 ,5 
