Kanton,Kinos_2024,Saele_2024
Zürich,29.0,106.0
Bern,43.0,78.0
Luzern,8.0,34.0
Uri,1.0,1.0
Schwyz,3.0,7.0
Obwalden,1.0,1.0
Nidwalden,3.0,5.0
Glarus,1.0,5.0
Zug,3.0,4.0
Freiburg,7.0,22.0
Solothurn,10.0,15.0
Basel-Stadt,5.0,24.0
Basel-Landschaft,4.0,4.0
Schaffhausen,3.0,11.0
Appenzell A. Rh.,2.0,3.0
Appenzell I. Rh.,0.0,0.0
St. Gallen,13.0,36.0
Graubünden,11.0,23.0
Aargau,17.0,47.0
Thurgau,4.0,7.0
Tessin,11.0,26.0
Waadt,33.0,68.0
Wallis,13.0,14.0
Neuenburg,11.0,15.0
Genf,14.0,39.0
Jura,5.0,8.0
